Types,SuperType,AdjustedTypes
AccommodationProduct,Accommodation,HotelAccomodation
FitnessCenter,SportsAndLeisurePlace,SportsPlace
AccompaniedPractice,Practice,Convenience
ActivityProvider,ActivityProvider,Convenience
SportsAndLeisurePlace,SportsAndLeisurePlace,SportsPlace
StadiumOrArena,SportsAndLeisurePlace,SportsPlace
Stadium,SportsAndLeisurePlace,SportsPlace
Accommodation,Accommodation,HotelAccomodation
Airfield,Transport,Convenience
Accommodation,Accommodation,HotelAccomodation
Camping,Accommodation,AffordableAccomodation
CampingAndCaravanning,Accommodation,AffordableAccomodation
Library,CulturalSite,Artistic
CulturalSite,CulturalSite,CulturalBuilding
Library,CulturalSite,Artistic
Hotel,Accommodation,HotelAccomodation
Hotel,Accommodation,HotelAccomodation
HotelTrade,Accommodation,HotelAccomodation
AmusementPark,SportsAndLeisurePlace,Leisure
AntiqueAndSecondhandGoodDealer,Store,Artistic
Apartment,Accommodation,HotelAccomodation
HotelRestaurant,Accommodation,HotelAccomodation
Apartment,Accommodation,HotelAccomodation
Aquarium,SportsAndLeisurePlace,Leisure
ArtGalleryOrExhibitionGallery,Store,Artistic
ArtistSigning,EntertainmentAndEvent,Artistic
ATM,ConvenientService,Convenience
Bakery,FoodEstablishment,TakeAway
Bakery,FoodEstablishment,TakeAway
BarOrPub,FoodEstablishment,Drinks
Beach,NaturalHeritage,NaturalHeritage
Mill,CulturalSite,CulturalBuilding
TechnicalHeritage,CulturalSite,CulturalBuilding
Museum,CulturalSite,Artistic
Museum,CulturalSite,Artistic
CityHeritage,CulturalSite,CulturalBuilding
BikeStationOrDepot,Transport,Convenience
CollectiveAccommodation,Accommodation,AffordableAccomodation
HolidayResort,Accommodation,HotelAccomodation
RentalAccommodation,Accommodation,HotelAccomodation
SelfCateringAccommodation,Accommodation,AffordableAccomodation
Bishopric,CulturalSite,CulturalBuilding
BistroOrWineBar,FoodEstablishment,Drinks
EquestrianCenter,SportsAndLeisurePlace,SportsPlace
BoatRestaurant,FoodEstablishment,SitDown
Bog,NaturalHeritage,NaturalHeritage
BoutiqueOrLocalShop,Store,Convenience
EducationalTrail,SportsAndLeisurePlace,Leisure
BrasserieOrTavern,FoodEstablishment,SitDown
Brewery,Store,Drinks
BedAndBreakfast,Accommodation,HotelAccomodation
Guesthouse,Accommodation,HotelAccomodation
Palace,CulturalSite,CulturalBuilding
RemarkableBuilding,CulturalSite,CulturalBuilding
BricABrac,EntertainmentAndEvent,CulturalBuilding
Palace,CulturalSite,CulturalBuilding
Bubble,Accommodation,AffordableAccomodation
Bungalow,Accommodation,AffordableAccomodation
BusinessEvent,Neutral,Neutral
BusinessEvent,Neutral,Neutral
BusinessPlace,Neutral,Neutral
BusStop,Transport,Convenience
Church,CulturalSite,CulturalBuilding
ReligiousSite,CulturalSite,CulturalBuilding
BusStop,Transport,Convenience
IndustrialSite,CulturalSite,CulturalBuilding
Mine,CulturalSite,CulturalBuilding
Cabaret,FoodEstablishment,SitDown
ParkAndGarden,NaturalHeritage,NaturalHeritage
CafeOrCoffeeShop,FoodEstablishment,SitDown
IceCreamShop,FoodEstablishment,TakeAway
CafeOrTeahouse,FoodEstablishment,SitDown
CivicStructure,SportsAndLeisurePlace,Leisure
PlayArea,SportsAndLeisurePlace,SportsPlace
CampingCar,Accommodation,AffordableAccomodation
SightseeingBoat,SportsAndLeisurePlace,Leisure
IceSkatingRink,SportsAndLeisurePlace,SportsPlace
Zoo,SportsAndLeisurePlace,Leisure
ZooAnimalPark,SportsAndLeisurePlace,Leisure
CampingPitch,Accommodation,AffordableAccomodation
CampingPitch,Accommodation,AffordableAccomodation
Canal,NaturalHeritage,NaturalHeritage
Carnival,EntertainmentAndEvent,CulturalBuilding
CarOrBikeWash,ConvenientService,Convenience
CarpoolArea,Transport,Convenience
CastleAndPrestigeMansion,Accommodation,HotelAccomodation
Cathedral,CulturalSite,CulturalBuilding
Causse,NaturalHeritage,NaturalHeritage
Theater,SportsAndLeisurePlace,Leisure
Aqueduct,CulturalSite,CulturalBuilding
CaveSinkholeOrAven,NaturalHeritage,NaturalHeritage
DefenceSite,CulturalSite,CulturalBuilding
Cellar,FoodEstablishment,Drinks
ThemePark,SportsAndLeisurePlace,Leisure
GroupLodging,Accommodation,AffordableAccomodation
StopOverOrGroupLodge,Accommodation,AffordableAccomodation
Chalet,Accommodation,HotelAccomodation
ChildrensEvent,EntertainmentAndEvent,LocalCulture
CircusPlace,SportsAndLeisurePlace,Leisure
Farm,CulturalSite,LocalCulture
TeachingFarm,SportsAndLeisurePlace,Leisure
Cirque,NaturalHeritage,NaturalHeritage
Col,NaturalHeritage,NaturalHeritage
Commemoration,EntertainmentAndEvent,LocalCulture
HolidayCentre,Accommodation,HotelAccomodation
NightClub,SportsAndLeisurePlace,Leisure
NightClub,SportsAndLeisurePlace,Leisure
Collegiate,CulturalSite,CulturalBuilding
Competition,EntertainmentAndEvent,Artistic
Castle,CulturalSite,CulturalBuilding
TennisComplex,SportsAndLeisurePlace,SportsPlace
Marina,SportsAndLeisurePlace,Leisure
Concert,EntertainmentAndEvent,Artistic
BoulesPitch,SportsAndLeisurePlace,SportsPlace
FitnessPath,SportsAndLeisurePlace,SportsPlace
Conference,EntertainmentAndEvent,Artistic
SwimmingPool,SportsAndLeisurePlace,SportsPlace
Congress,EntertainmentAndEvent,Artistic
ConvenientService,ConvenientService,Convenience
ConventionCentre,Neutral,Neutral
Cooperative,Store,TakeAway
RacingCircuit,SportsAndLeisurePlace,SportsPlace
Course,Practice,Convenience
CraftsmanShop,Store,LocalCulture
ArcheologicalSite,CulturalSite,CulturalBuilding
Ruins,CulturalSite,CulturalBuilding
GolfCourse,SportsAndLeisurePlace,SportsPlace
GolfCourse,SportsAndLeisurePlace,SportsPlace
CulturalActivityProvider,CulturalSite,LocalCulture
Chartreuse,CulturalSite,LocalCulture
FortifiedCastle,CulturalSite,CulturalBuilding
CulturalEvent,EntertainmentAndEvent,LocalCulture
Cybercafe,ConvenientService,Convenience
CyclingTour,SportsAndLeisurePlace,SportsPlace
DanceEvent,EntertainmentAndEvent,Artistic
DanceEvent,EntertainmentAndEvent,Artistic
DepartementTourismCommittee,TouristInformationCenter,Convenience
TouristTrain,SportsAndLeisurePlace,Leisure
DevelopmentCourse,Practice,Convenience
ElectricVehicleChargingPoint,ConvenientService,Convenience
BalneotherapyCentre,SportsAndLeisurePlace,Leisure
BilliardRoom,SportsAndLeisurePlace,Leisure
BowlingAlley,SportsAndLeisurePlace,Leisure
Tower,CulturalSite,CulturalBuilding
EntertainmentAndEvent,EntertainmentAndEvent,LocalCulture
EquipmentRental,ServiceProvider,Convenience
CamperVanArea,Accommodation,AffordableAccomodation
EquipmentRentalShop,ServiceProvider,Convenience
ClimbingWall,SportsAndLeisurePlace,SportsPlace
LevyOrDike,CulturalSite,CulturalBuilding
Bridge,CulturalSite,CulturalBuilding
Monastery,CulturalSite,CulturalBuilding
EquipmentRepairShop,ServiceProvider,Convenience
Event,EntertainmentAndEvent,LocalCulture
Exhibition,EntertainmentAndEvent,Artistic
ExhibitionEvent,EntertainmentAndEvent,Artistic
FairOrShow,EntertainmentAndEvent,CulturalBuilding
MultiPurposeRoomOrCommunityRoom,SportsAndLeisurePlace,Leisure
MiniGolf,SportsAndLeisurePlace,SportsPlace
Arena,CulturalSite,CulturalBuilding
Farmer,Store,LocalCulture
FarmhouseInn,FoodEstablishment,SitDown
FastFoodRestaurant,FoodEstablishment,TakeAway
FastFoodRestaurant,FoodEstablishment,TakeAway
Casino,SportsAndLeisurePlace,Leisure
Casino,SportsAndLeisurePlace,Leisure
Festival,EntertainmentAndEvent,LocalCulture
YouthHostelAndInternationalCenter,Accommodation,AffordableAccomodation
TrackRollerOrSkateBoard,SportsAndLeisurePlace,SportsPlace
ClubOrHolidayVillage,Accommodation,HotelAccomodation
Festival,EntertainmentAndEvent,LocalCulture
VivariumAquarium,SportsAndLeisurePlace,Leisure
Abbey,CulturalSite,CulturalBuilding
CoveredMarket,CulturalSite,LocalCulture
LaunchingRamp,SportsAndLeisurePlace,SportsPlace
FirstPractice,Practice,SportsPlace
District,CulturalSite,CulturalBuilding
Cloister,CulturalSite,CulturalBuilding
Temple,CulturalSite,CulturalBuilding
FluvialTour,Tour,Tour
FoodEstablishment,FoodEstablishment,SitDown
FoodEstablishment,FoodEstablishment,SitDown
CrossCountrySkiTrail,SportsAndLeisurePlace,SportsPlace
MilitaryCemetery,CulturalSite,CulturalBuilding
Forest,NaturalHeritage,NaturalHeritage
DownhillSkiRun,SportsAndLeisurePlace,SportsPlace
Fort,CulturalSite,CulturalBuilding
RomanPath,CulturalSite,CulturalBuilding
FreePractice,Practice,Tour
Game,EntertainmentAndEvent,Artistic
GarageOrAirPump,ConvenientService,Convenience
GarageSale,EntertainmentAndEvent,LocalCulture
Gorge,NaturalHeritage,NaturalHeritage
GourmetRestaurant,FoodEstablishment,SitDown
Hammam,SportsAndLeisurePlace,Leisure
Harvest,EntertainmentAndEvent,LocalCulture
HealthcarePlace,MedicalPlace,Convenience
HealthcareProfessional,MedicalPlace,Convenience
HorseTour,Tour,Tour
Hostel,Accommodation,HotelAccomodation
House,Accommodation,HotelAccomodation
House,Accommodation,HotelAccomodation
Hut,Accommodation,AffordableAccomodation
HypermarketAndSupermarket,Store,Convenience
IceCreamShop,FoodEstablishment,TakeAway
IceCreamShop,FoodEstablishment,TakeAway
IncomingTravelAgency,TouristInformationCenter,Convenience
InterpretationCentre,CulturalSite,Artistic
IntroductionCourse,Practice,Leisure
Lake,NaturalHeritage,NaturalHeritage
Landform,NaturalHeritage,NaturalHeritage
LeftLuggage,ConvenientService,Convenience
LeisureComplex,SportsAndLeisurePlace,Leisure
LeisureSportActivityProvider,ActivityProvider,Leisure
LocalAnimation,EntertainmentAndEvent,LocalCulture
LocalBusiness,Neutral,Neutral
LocalProductsShop,Store,LocalCulture
LocalTouristOffice,TouristInformationCenter,Convenience
LodgingBusiness,Accommodation,HotelAccomodation
Market,FoodEstablishment,LocalCulture
MedicalPlace,MedicalPlace,Convenience
Mountain,NaturalHeritage,NaturalHeritage
MountainRestaurant,FoodEstablishment,SitDown
MovieTheater,SportsAndLeisurePlace,Leisure
MultiActivity,Practice,Convenience
MusicEvent,EntertainmentAndEvent,Artistic
NaturalHeritage,NaturalHeritage,NaturalHeritage
NonHousingRealEstateRental,Accommodation,AffordableAccomodation
OpenDay,EntertainmentAndEvent,LocalCulture
Opera,CulturalEvent,Artistic
CircusEvent,SportsAndLeisurePlace,Leisure
OrderedList,Neutral,Neutral
ViaFerrata,SportsAndLeisurePlace,SportsPlace
Parade,EntertainmentAndEvent,LocalCulture
Park,ParkAndGarden,NaturalHeritage
Parking,Transport,Convenience
RemarkableHouse,CulturalSite,CulturalBuilding
Dungeon,CulturalSite,CulturalBuilding
Pharmacy,MedicalPlace,Convenience
Pharmacy,MedicalPlace,Convenience
PicnicArea,ConvenientService,Leisure
PilgrimageAndProcession,EntertainmentAndEvent,LocalCulture
PlaceOfInterest,Neutral,Neutral
TouristBus,SportsAndLeisurePlace,Leisure
Chapel,CulturalSite,CulturalBuilding
PointOfInterest,Neutral,Neutral
PointOfView,NaturalHeritage,NaturalHeritage
Pond,NaturalHeritage,NaturalHeritage
Practice,Practice,Convenience
Producer,Store,Convenience
ProducersGroup,Store,Convenience
Product,Neutral,Neutral
Product,Neutral,Neutral
ProfessionalTourGuide,Tour,Tour
PublicLavatories,ConvenientService,Convenience
Rally,EntertainmentAndEvent,LocalCulture
Rambling,EntertainmentAndEvent,Artistic
Reading,EntertainmentAndEvent,Artistic
Recital,EntertainmentAndEvent,Artistic
Orchard,CulturalSite,LocalCulture
ReligiousEvent,EntertainmentAndEvent,CulturalBuilding
RemembranceSite,CulturalSite,CulturalBuilding
Rental,ConvenientService,Convenience
Restaurant,FoodEstablishment,SitDown
Restaurant,FoodEstablishment,SitDown
FortifiedSet,CulturalSite,CulturalBuilding
River,NaturalHeritage,NaturalHeritage
Bastide,CulturalSite,CulturalBuilding
RiverPort,Transport,Leisure
RoadTour,Tour,Tour
Room,Accommodation,HotelAccomodation
RVServiceArea,ConvenientService,Convenience
MegalithDolmenMenhir,CulturalSite,CulturalBuilding
SaleEvent,EntertainmentAndEvent,LocalCulture
Commanderie,CulturalSite,CulturalBuilding
SaleEvent,EntertainmentAndEvent,LocalCulture
MountainResort,CulturalSite,CulturalBuilding
Convent,CulturalSite,CulturalBuilding
ScreeningEvent,EntertainmentAndEvent,Artistic
KidsClub,SportsAndLeisurePlace,Leisure
Gymnasium,SportsAndLeisurePlace,SportsPlace
ScreeningEvent,EntertainmentAndEvent,Artistic
SelfServiceCafeteria,FoodEstablishment,SitDown
Seminar,EntertainmentAndEvent,Artistic
ServiceProvider,ServiceProvider,Convenience
ShoppingCentreAndGallery,Store,Convenience
ShowEvent,EntertainmentAndEvent,Artistic
SocialEvent,EntertainmentAndEvent,LocalCulture
SocialEvent,EntertainmentAndEvent,LocalCulture
Auditorium,SportsAndLeisurePlace,Leisure
TourismCableCar,SportsAndLeisurePlace,SportsPlace
Source,NaturalHeritage,NaturalHeritage
Spa,MedicalPlace,Leisure
SportsCompetition,EntertainmentAndEvent,SportsPlace
SportsDemonstration,EntertainmentAndEvent,SportsPlace
SportsEvent,EntertainmentAndEvent,SportsPlace
SportsEvent,EntertainmentAndEvent,SportsPlace
Stone,NaturalHeritage,NaturalHeritage
Store,Store,Convenience
ChildrensGite,Accommodation,HotelAccomodation
StreetFood,FoodEstablishment,TakeAway
Tasting,Practice,LocalCulture
SquashCourt,SportsAndLeisurePlace,SportsPlace
TastingProvider,Store,LocalCulture
TaxiCompany,ServiceProvider,Convenience
TaxiStation,Transport,Convenience
Tent,Accommodation,AffordableAccomodation
ThalassotherapyCentre,MedicalPlace,Leisure
TheaterEvent,EntertainmentAndEvent,Artistic
TheaterEvent,EntertainmentAndEvent,Artistic
Tipi,Accommodation,AffordableAccomodation
Tour,Tour,Tour
TourGuideAgency,Tour,Tour
BeachClub,SportsAndLeisurePlace,Leisure
TourismCentre,TouristInformationCenter,Convenience
TouristInformationCenter,TouristInformationCenter,Convenience
TouristInformationCenter,TouristInformationCenter,Convenience
TourOperatorOrTravelAgency,TouristInformationCenter,Convenience
Trader,Store,Convenience
SportsClub,SportsAndLeisurePlace,SportsPlace
TraditionalCelebration,EntertainmentAndEvent,LocalCulture
Traineeship,Practice,Convenience
Basilica,CulturalSite,CulturalBuilding
Trampoline,SportsAndLeisurePlace,Leisure
TobogganBobsleigh,SportsAndLeisurePlace,Leisure
Lock,CulturalSite,CulturalBuilding
Citadel,CulturalSite,CulturalBuilding
TableHotes,Accommodation,HotelAccomodation
SummerToboggan,SportsAndLeisurePlace,Leisure
TrainingWorkshop,EntertainmentAndEvent,Neutral
Racetrack,SportsAndLeisurePlace,Leisure
WashHouse,CulturalSite,CulturalBuilding
Synagogue,CulturalSite,CulturalBuilding
PigeonLoft,CulturalSite,LocalCulture
CivilCemetery,CulturalSite,LocalCulture
TrainStation,Transport,Convenience
TrainStation,Transport,Convenience
Transport,Transport,Convenience
Transporter,ServiceProvider,Convenience
TreeHouse,Accommodation,AffordableAccomodation
TableHoteGuesthouse,Accommodation,HotelAccomodation
UnderwaterRoute,Tour,Tour
Valley,NaturalHeritage,NaturalHeritage
Velodrome,SportsAndLeisurePlace,SportsPlace
Visit,Tour,Tour
VisualArtsEvent,EntertainmentAndEvent,Artistic
WalkingTour,Tour,Tour
Waterfall,NaturalHeritage,NaturalHeritage
WaterSource,ConvenientService,Convenience
WifiHotSpot,ConvenientService,Convenience
WineCellar,Store,LocalCulture
Winery,FoodEstablishment,Drinks
Stables,CulturalSite,CulturalBuilding
TriumphalArch,CulturalSite,CulturalBuilding
Yurt,Accommodation,AffordableAccomodation
Cinematheque,SportsAndLeisurePlace,Leisure
YachtClub,SportsAndLeisurePlace,Leisure
Cinema,SportsAndLeisurePlace,Leisure
WorkMeeting,BusinessEvent,Neutral